outfile,x,y,width,height
affixes/above.png,510,20,100,100
affixes/anti.png,1010,20,100,100
affixes/away.png,1415,25,100,100
affixes/circ.png,390,150,80,100
affixes/com.png,1037,150,100,100
affixes/dis.png,1445,140,100,100
affixes/each.png,260,280,90,100
affixes/ever.png,570,840,100,100
affixes/fect.png,610,260,75,100
affixes/full.png,1040,250,100,100
affixes/graph.png,1535,250,70,100
affixes/hood.png,260,390,100,100
affixes/ify.png,560,380,100,100
affixes/ifycation.png,960,380,100,100
affixes/less.png,1270,370,100,100
affixes/logy.png,450,500,100,100
affixes/mis.png,920,485,80,100
affixes/ness.png,1230,480,100,100
affixes/over.png,560,600,100,100
affixes/self.png,880,600,100,100
affixes/semi.png,1195,580,90,100
affixes/ship.png,1480,580,100,100
affixes/sub.png,230,730,100,100
affixes/super.png,695,720,80,100
affixes/trans.png,970,710,80,100
affixes/under.png,1310,700,100,100
affixes/ward.png,900,830,100,100
